:LABEL,名称:ID,简介
论文或专利,"Dual-layer modulated model predictive control scheme for the cascaded H-bridge converter","Qian Xiao, Hongjie Jia, Yi Tang, Yu Jin, Yunfei Mu, Remus Teodorescu, Frede Blaabjerg. Dual-layer modulated model predictive control scheme for the cascaded H-bridge converter. IEEE Transactions on Industrial Electronics, 2023,70(10): 9751-9763. (TOP 期刊，中科院分区SCI一区)"
论文或专利,"Space-vector-equalized predictive current control scheme for the modular multilevel converter with improved steady-state performance","Qian Xiao, Yu Jin, Josep Pou, Hongjie Jia, Yunfei Mu, Remus Teodorescu, Frede Blaabjerg. Space-vector-equalized predictive current control scheme for the modular multilevel converter with improved steady-state performance. IEEE Transactions on Industrial Electronics, 2023, 70(7): 6470-6481. (TOP 期刊，中科院分区SCI一区)"
论文或专利,"Decoupled control scheme for THD reduction and one specific harmonic elimination in the modular multilevel converter","Qian Xiao, Shunfeng Yang, Yu Jin, Hongjie Jia, Josep Pou, Remus Teodorescu, Frede Blaabjerg. Decoupled control scheme for THD reduction and one specific harmonic elimination in the modular multilevel converter. IEEE Transactions on Industrial Electronics, 2023, 70(1): 99-111. (TOP 期刊，中科院分区SCI一区)"
论文或专利,"一种多端口交直流混合微电网系统的能量控制方法","肖迁，贾宏杰，穆云飞，侯恺，余晓丹．一种多端口交直流混合微电网系统的能量控制方法，国内发明专利，专利号：ZL202011196677.9 (已授权)"
论文或专利,"一种多端口中低压交直流混合微电网的能量分层控制方法","肖迁，陆文标，贾宏杰，穆云飞，余晓丹．一种多端口中低压交直流混合微电网的能量分层控制方法，国内发明专利，专利号：ZL202111296925.1 (已授权)"
论文或专利,"DC Capacitor Voltage Balancing Control Method Under Single-Phase Grid Fault","Qian Xiao, Yunfei Mu, Hongjie Jia, Kai Hou, Wenbiao Lu, Xiaodan Yu. DC Capacitor Voltage Balancing Control Method Under Single-Phase Grid Fault, 国际发明专利, 专利号：LU102204 (已授权)"
论文或专利,"Mapping the Human Connectome using Diffusion MRI at 300 mT/m Gradient Strength: Methodological Advances and Scientific Impact","Fan, Q., Eichner, C., Afzali, M., Mueller, L., Tax, C.M.W., Davids, M., Mahmutovic, M., Keil, B., Bilgic, B., Setsompop, K., Lee, H.-H., Tian, Q., Maffei, C., Ramos-Llordén, G., Nummenmaa, A., Witzel, T., Yendiki, A., Song, Y.-Q., Huang, C.-C., Lin, C.-P., Weiskopf, N., Anwander, A., Jones, D.K., Rosen, B.R., Wald, L.L., Huang, S.Y., 2022. Mapping the Human Connectome using Diffusion MRI at 300 mT/m Gradient Strength: Methodological Advances and Scientific Impact. NeuroImage, 2022; 118958. (Invited Review)"
论文或专利,"Scan-rescan repeatability of axonal imaging metrics using high-gradient diffusion MRI and statistical implications for study design","Fan, Q.,  Polackal, M.N., Tian, Q., Ngamsombat, C., Nummenmaa, A., Witzel, T., Klawiter, E.C., Huang, S.Y. Scan-rescan repeatability of axonal imaging metrics using high-gradient diffusion MRI and statistical implications for study design. Neuroimage 2021;240:118323."
论文或专利,"Axon diameter index estimation independent of fiber orientation distribution using high-gradient diffusion MRI","Fan, Q. , Nummenmaa, A., Witzel, T., Ohringer, N., Tian, Q., Setsompop, K., Klawiter, E.C., Rosen, B.R., Wald, L.L., Huang, S.Y. Axon diameter index estimation independent of fiber orientation distribution using high-gradient diffusion MRI. NeuroImage 2020;222:117197"
论文或专利,"Age-related alterations in axonal microstructure in the corpus callosum measured by high-gradient diffusion MRI","Fan, Q., Tian, Q., Ohringer, N.A., Nummenmaa, A., Witzel, T., Tobyne, S.M., Klawiter, E.C., Mekkaoui, C., Rosen, B.R., Wald, L.L., Salat, D.H., Huang, S.Y. Age-related alterations in axonal microstructure in the corpus callosum measured by high-gradient diffusion MRI. Neuroimage 2019;191:325-336"
论文或专利,"Validation of diffusion MRI estimates of compartment size and volume fraction in a biomimetic brain phantom using a human MRI scanner with 300 mT/m maximum gradient strength","Fan, Q., Nummenmaa, A., Wichtmann, B., Witzel, T., Mekkaoui, C., Schneider, W., Wald, L.L., Huang, S.Y. Validation of diffusion MRI estimates of compartment size and volume fraction in a biomimetic brain phantom using a human MRI scanner with 300 mT/m maximum gradient strength. Neuroimage 2018;182:469-478."
论文或专利,"HIgh b-value and high Resolution Integrated Diffusion (HIBRID) imaging","Fan, Q., Nummenmaa, A., Polimeni, J.R., Witzel, T., Huang, S.Y., Wedeen, V.J., Rosen, B.R., Wald, L.L. HIgh b-value and high Resolution Integrated Diffusion (HIBRID) imaging. NeuroImage 2017;150:162-176."
论文或专利,"A stochastic model for the detection of heterogeneous link communities in complex networks","Dongxiao He, Dayou Liu, Di Jin, Weixiong Zhang. A stochastic model for the detection of heterogeneous link communities in complex networks, AAAI-15, Jan 25-30, 2015"
论文或专利,"Identification of hybrid node and link communities in complex networks","Dongxiao He, Di Jin, Zheng Chen, Weixiong Zhang. Identification of hybrid node and link communities in complex networks. Scientific Reports, 2015, 5, 8638. (SCI, IF: 5.078)"
论文或专利,"Modeling with node degree preservation can accurately find communities","Di Jin, Zheng Chen, Dongxiao He, Weixiong Zhang. Modeling with node degree preservation can accurately find communities, AAAI-15, Jan 25-30, 2015"
论文或专利,"Combined node and link partitions method for finding overlapping communities in complex networks","Di Jin, Bogdan Gabrys, Jianwu Dang. Combined node and link partitions method for finding overlapping communities in complex networks. Scientific Reports (Nature Publishing Group), 2015, 5, 8600. (SCI, IF: 5.078)"
论文或专利,"Detect overlapping communities via modeling and ranking node popularities","Di Jin, Hongcui Wang, Jianwu Dang, Dongxiao He, Weixiong Zhang. Detect overlapping communities via modeling and ranking node popularities. AAAI-16, pp.172-178"
论文或专利,"Joint Identification of Network Communities and Semantics via Integrative Modeling of Network Topologies and Node Contents","Dongxiao He, Zhiyong Feng, Di Jin, Xiaobao Wang, Weixiong Zhang, Joint Identification of Network Communities and Semantics via Integrative Modeling of Network Topologies and Node Contents, AAAI-17"
