:LABEL,名称:ID,简介
科研项目或学术活动,"多个混合型MMC互联的中压直流配电网多元抗扰控制方法研究","2022-2024，国家自然科学基金青年项目“多个混合型MMC互联的中压直流配电网多元抗扰控制方法研究”，项目负责人"
科研项目或学术活动,"综合能源系统的稳定性与运行优化","2017-2021，国家杰出青年科学基金项目“综合能源系统的稳定性与运行优化”，项目骨干"
科研项目或学术活动,"基于边云协同的区域能源互联网优化运行智能理论与关键技术","2021-2024，国家自然科学基金智能电网联合基金重点项目“基于边云协同的区域能源互联网优化运行智能理论与关键技术”，合作单位(课题一)负责人"
科研项目或学术活动,"敦煌壁画建筑信息识别系统","与敦煌研究院开展项目合作：“敦煌壁画建筑信息识别系统”，2022-3-8"
科研项目或学术活动,"渤海造船厂开展焊缝缺陷检测项目","与中国船舶工业综合技术经济研究院、渤海造船厂开展焊缝缺陷检测项目研究，2022-2-16"
科研项目或学术活动,"社会信息融合的客户侧用能系统关键特征信息提取技术研究","国家电网项目“社会信息融合的客户侧用能系统关键特征信息提取技术研究”，2021-10-1"
科研项目或学术活动,"基于机器学习的焊接缺陷自动判读技术研究","2022.5.1-2023.12.31，基于机器学习的焊接缺陷自动判读技术研究，中国船舶工业综合技术经济研究院，军工横向，负责人"
科研项目或学术活动,"基于CPSS的客户侧边缘感知与能源控制技术研究","2021.12.16-2023.10.30，基于CPSS的客户侧边缘感知与能源控制技术研究，中国电力科学研究院有限公司，横向，负责人"
科研项目或学术活动,"基于显著性的主动学习方法研究及其在医疗影像分析中的应用","2021.1-2024.12，基于显著性的主动学习方法研究及其在医疗影像分析中的应用，国家自然科学基金面上, 第一参加人"
科研项目或学术活动,"面向癌症检测的小样本高光谱图像分类理论研究","2019/01-2022/12，面向癌症检测的小样本高光谱图像分类理论研究，国家自然科学基金面上项目，负责人"
科研项目或学术活动,"面向急性脑卒中微结构成像的HIBRID深度学习加速方法","国家自然科学基金面上项目，82071994，面向急性脑卒中微结构成像的HIBRID深度学习加速方法，2021.1-2024.12，56万元，主持。"
科研项目或学术活动,"TractCaliber MRI for Characterizing Axonal Damage in Ischemic Stroke","美国心脏与脑卒中协会（AHA）博士后基金项目，17POST33670452，TractCaliber MRI for Characterizing Axonal Damage in Ischemic Stroke，2017/07/01-2019/6/30，主持"
科研项目或学术活动,"HIBRID MRI for Characterizing Focal Cortical Dysplasia in Epilepsy","美国麻省总医院ECOR基金项目，HIBRID MRI for Characterizing Focal Cortical Dysplasia in Epilepsy，2016/01/01-2016/12/31，主持"
科研项目或学术活动,"定性与定量空间推理方法研究","主持完成国家自然科学基金项目：定性与定量空间推理方法研究。"
科研项目或学术活动,"定性计算机视觉方法研究","主持完成教育部高等学校骨干教师资助计划项目：定性计算机视觉方法研究。"
科研项目或学术活动,"基于定型推理的视频内容检索技术","主持完成辽宁省科学技术基金资助项目：基于定型推理的视频内容检索技术。"
科研项目或学术活动,"定性物理形状表示方法研究","主持完成国家重点实验室开放课题基金资助项目：定性物理形状表示方法研究。"
科研项目或学术活动,"计算机视觉的定性计算理论与方法研究","主持完成辽宁省教委高等学校科研基金项目：计算机视觉的定性计算理论与方法研究。"
科研项目或学术活动,"图模型的近似计算理论及其在草图人机界面中的应用","主持完成天津市自然科学基金项目：图模型的近似计算理论及其在草图人机界面中的应用。"
科研项目或学术活动,"Big Social Media Data Management and Analysis","Program Co-chair in workshop on “Big Social Media Data Management and Analysis”, in IJCAI 2019"
科研项目或学术活动,"SPCs in AAAI 2018-2022 and IJCAI 2021-2022, and PCs of ICML, NeurIPS, KDD and WWW","SPCs in AAAI 2018-2022 and IJCAI 2021-2022, and PCs of ICML, NeurIPS, KDD and WWW"
科研项目或学术活动,"Pattern Recognition Special issue on “Graph Machine Learning”","Managing Guest Editor in Pattern Recognition Special issue on “Graph Machine Learning” (Shirui Pan, Weiping Ding, Kaska Musial, Francoise Soulie and Philip S. Yu), 2023"
科研项目或学术活动,"Big Data Special Issue on “Network structural modelling & learning”","Managing Guest Editor in IEEE Trans. Big Data Special Issue on “Network structural modelling & learning” (with Wenjun Wang, Guojie Song, Philip S. Yu and Jiawei Han), 2022"
科研项目或学术活动,"Future Generation Computer Systems Special Issue on “Graph-Powered Machine Learning”","Guest Editor in Future Generation Computer Systems Special Issue on “Graph-Powered Machine Learning” (with Shirui Pan, Shaoxiong Ji, Feng Xia, and Philip S. Yu), 2021"
科研项目或学术活动,"人体状态测试","2021.5-2022.5 横向项目：人体状态测试，负责人。"
科研项目或学术活动,"多体素核磁共振谱量化估计新方法及其辅助肿瘤识别方法的研究","2013.01-2015.12国家自然科学基金青年基金项目：多体素核磁共振谱量化估计新方法及其辅助肿瘤识别方法的研究，负责人。"
科研项目或学术活动,"多体素核磁共振谱辅助肿瘤定位相关算法的研究","2013.01-2015.12 教育部博士点新教师基金：多体素核磁共振谱辅助肿瘤定位相关算法的研究，负责人。"
科研项目或学术活动,"精细化质量管理示范研究","2019.4-2021.12，国家级项目，精细化质量管理示范研究, 负责人，在研"
科研项目或学术活动,"过程质量风险建模与评价研究","2018.1-2019.12，国家级项目，过程质量风险建模与评价研究, 负责人，在研"
科研项目或学术活动,"面向异构数据库的查询语言设计及其基础理论研究","2016.01-2018.12    面向异构数据库的查询语言设计及其基础理论研究，(项目号：61502336),国家自然科学基金项目，结题"
科研项目或学术活动,"配电网多元化负荷运行响应大数据分析","2017.11-2019.06，国家电网项目，配电网多元化负荷运行响应大数据分析, 负责人，在研"
科研项目或学术活动,"图数据管理关键技术及系统","2016.07-2019.06    图数据管理关键技术及系统, 国家重点研发计划(2016YFB1000603)子课题 ，在研"
科研项目或学术活动,"经口入路颅颌面肿瘤切除柔性手术机器人","国家重点研发计划项目课题，2022YFC2405403，经口入路颅颌面肿瘤切除柔性手术机器人，2022.11–2027.10，200万元，在研，负责人"
科研项目或学术活动,"海洋技术装备创新服务平台","海洋技术装备创新服务平台 2015-03-01--2016-12-31 负责人 科技计划:专项项目"
科研项目或学术活动,"安全性驱动的微创手术机器人互作用机理与系统评估方法","安全性驱动的微创手术机器人互作用机理与系统评估方法 2015-01-01--2018-12-31 负责人 科技计划:基金面上"
科研项目或学术活动,"微创器械创成与实现方法研究","微创器械创成与实现方法研究 2013-01-01--2017-12-31 负责人 科技计划:国家基金重大项目"
