:START_ID,:TYPE,:END_ID
"肖迁",发表,"Dual-layer modulated model predictive control scheme for the cascaded H-bridge converter"
"肖迁",发表,"Space-vector-equalized predictive current control scheme for the modular multilevel converter with improved steady-state performance"
"肖迁",发表,"Decoupled control scheme for THD reduction and one specific harmonic elimination in the modular multilevel converter"
"肖迁",发表,"一种多端口交直流混合微电网系统的能量控制方法"
"肖迁",发表,"一种多端口中低压交直流混合微电网的能量分层控制方法"
"肖迁",发表,"DC Capacitor Voltage Balancing Control Method Under Single-Phase Grid Fault"
"范秋筠","发表","Mapping the Human Connectome using Diffusion MRI at 300 mT/m Gradient Strength: Methodological Advances and Scientific Impact"
"范秋筠","发表","Scan-rescan repeatability of axonal imaging metrics using high-gradient diffusion MRI and statistical implications for study design"
"范秋筠","发表","Axon diameter index estimation independent of fiber orientation distribution using high-gradient diffusion MRI"
"范秋筠","发表","Age-related alterations in axonal microstructure in the corpus callosum measured by high-gradient diffusion MRI"
"范秋筠","发表","Validation of diffusion MRI estimates of compartment size and volume fraction in a biomimetic brain phantom using a human MRI scanner with 300 mT/m maximum gradient strength"
"范秋筠","发表","HIgh b-value and high Resolution Integrated Diffusion (HIBRID) imaging"
"金弟","发表","A stochastic model for the detection of heterogeneous link communities in complex networks"
"金弟","发表","Identification of hybrid node and link communities in complex networks"
"金弟","发表","Modeling with node degree preservation can accurately find communities"
"金弟","发表","Combined node and link partitions method for finding overlapping communities in complex networks"
"金弟","发表","Detect overlapping communities via modeling and ranking node popularities"
"金弟","发表","Joint Identification of Network Communities and Semantics via Integrative Modeling of Network Topologies and Node Contents"
"党建武","发表","An Exploratory Study of Enhancing Text Clustering with Auto-Generated Semantic Tags[C]//Eighth International Conference on Semantics"
"党建武","发表","A COMPOUND OF FORMULA"
"党建武","发表","EGFR Signaling Through an Akt-SREBP-1-Dependent, Rapamycin-Resistant Pathway Sensitizes Glioblastomas to Antilipogenic Therapy"
"党建武","发表","A study of the influence of lanthanum fluoride on the tribological properties of bonded solid film lubricants and its mechanism of function"
"党建武","发表","Study on Treating DMF Containing Wastewater by Solvent Extraction-Activated Carbon Adsorption"
"党建武","发表","Combination of links and node contents for community discovery using a graph regularization approach"
"党建武","发表","Word Semantic Similarity Calculation Based on Domain Knowledge and HowNet"
"党建武","发表","A study on transvelar coupling for non-nasalized sounds"
"郭玙","发表","Contrast-Enhanced Spectral Mammography-Based Prediction of Non-Sentinel Lymph Node Metastasis and Axillary Tumor Burden in Patients With Breast Cancer"
"郭玙","发表","Deep disentangled representation learning of PET images for lymphoma outcome prediction"
"郭玙","发表","Multi-Atlas Based Adaptive Active Contour Model with Application to Organs at Risk Segmentation in Brain MR Images"
"郭玙","发表","Prostate cancer segmentation from multiparametric MRI based on fuzzy Bayesian model."
"郭玙","发表","Localization of prostate cancer based on fuzzy information fusion of multispectral MRI"
"郭玙","发表","一种系统化放射治疗生物效应评估方法"
"饶国政","发表","LSTM with sentence representations for Document-level Sentiment Classification"
"饶国政","发表","PRSPR: An Adaptive Framework for Massive RDF Stream Reasoning"
"饶国政","发表","X-A-BiLSTM: a Deep Learning Approach for Depression Detection in Imbalanced Data"
"饶国政","发表","Constructing Biomedical Knowledge Graph Based on SemMedDB and Linked Open Data"
"饶国政","发表","Renhai Chen and Zhiyong Feng. Hash Tree Indexing for Fast SPARQL Query in Large Scale RDF Data Management Systems"
"饶国政","发表","DFDS: A Domain-Independent Framework for Document-Level Sentiment Analysis based on RST"
"陈保军","发表","A novel jamming structure with interlocking mechanism towards applications in wearable robots"
"陈保军","发表","A wearable hands-free human-robot interface for robotized flexible endoscope"
"陈保军","发表","A novel 3-DOF force sensing microneedle with integrated fiber Bragg grating for microsurgery"
"陈保军","发表","A novel haptic master manipulator with a pneumatic-electric mechanism for natural orifice transluminal endoscopic surgery"
"陈保军","发表","Classification of lifting techniques for application of a robotic hip exoskeleton"
"陈保军","发表","A real-time lift detection strategy for a hip exoskeleton"
"王树新","发表","Kinematics Analysis of the Coupled Tendon-Driven Robot Based on the Product-of-Exponentials Formula Mechanism and Machine Theorynull"
"王树新","发表","Motion Characteristic Analysis of a Hybrid-Driven Underwater Glider null"
"王树新","发表","A Novel Knot-tying Approach for Minimally Invasive Surgical Robot Systems The International Journal of Medical Robotics and Computer Assisted Surgerynull"
"王树新","发表","Dynamic Modeling of Flexible Multibody Systems with Parameter Uncertainty Chaos Solitons & Fractalsnull"
